iter	Passed	Remaining
558	651	514
559	652	512
560	653	511
561	653	509
562	654	508
563	655	506
564	656	505
565	657	503
566	657	502
567	658	500
568	659	499
569	659	497
570	660	496
571	661	494
572	662	493
573	662	491
574	663	490
575	664	489
576	665	487
577	665	486
578	666	484
579	667	483
580	668	481
581	669	480
582	669	479
583	670	477
584	671	476
585	672	474
586	672	473
587	673	471
588	674	470
589	674	468
590	675	467
591	676	466
592	677	464
593	677	463
594	678	461
595	679	460
596	680	459
597	681	457
598	681	456
599	682	455
600	683	453
601	684	452
602	685	451
603	686	449
604	687	448
605	687	447
606	688	445
607	689	444
608	690	443
609	691	442
610	692	440
611	693	439
612	695	438
613	696	437
614	697	436
615	698	435
616	699	434
617	699	432
618	700	431
619	701	430
620	702	428
621	703	427
622	704	426
623	705	425
624	706	423
625	707	422
626	707	421
627	708	419
628	709	418
629	710	417
630	711	416
631	712	414
632	713	413
633	714	412
634	715	411
635	715	409
636	716	408
637	717	407
638	718	405
639	719	404
640	720	403
641	721	402
642	722	401
643	723	399
644	724	398
645	725	397
646	725	396
647	726	394
648	727	393
649	728	392
650	729	390
651	730	389
652	730	388
653	731	386
654	732	385
655	733	384
656	734	383
657	735	382
658	736	380
659	737	379
660	737	378
661	738	377
662	739	376
663	741	374
664	742	373
665	743	372
666	744	371
667	745	370
668	746	369
669	746	367
670	747	366
671	748	365
672	749	363
673	749	362
674	750	361
675	751	360
676	752	358
677	753	357
678	754	356
679	755	355
680	756	354
681	757	353
682	758	352
683	759	350
684	760	349
685	760	348
686	761	347
687	762	345
688	763	344
689	764	343
690	765	342
691	765	340
692	766	339
693	767	338
694	768	337
695	769	336
696	771	335
697	772	334
698	773	333
699	774	332
700	776	331
701	777	329
702	778	328
703	779	327
704	780	326
705	782	325
706	783	324
707	784	323
708	785	322
709	788	321
710	789	320
711	790	319
712	791	318
713	791	317
714	792	315
715	793	314
716	794	313
717	795	312
718	796	311
719	797	310
720	799	309
721	801	308
722	803	307
723	804	306
724	804	305
725	805	304
726	806	302
727	807	301
728	809	300
729	810	299
730	811	298
731	812	297
732	813	296
733	813	294
734	815	293
735	815	292
736	816	291
737	817	290
738	818	289
739	819	287
740	820	286
741	821	285
742	822	284
743	823	283
744	825	282
745	826	281
746	827	280
747	828	278
748	828	277
749	830	276
750	830	275
751	831	274
752	832	273
753	833	271
754	834	270
755	835	269
756	835	268
757	836	267
758	837	265
759	838	264
760	839	263
761	840	262
762	841	261
763	842	260
764	843	259
765	843	257
766	844	256
767	845	255
768	846	254
769	847	253
770	847	251
771	848	250
772	849	249
773	850	248
774	851	247
775	851	245
776	852	244
777	853	243
778	854	242
779	855	241
780	856	240
781	856	238
782	857	237
783	858	236
784	859	235
785	860	234
786	860	233
787	861	231
788	862	230
789	863	229
790	864	228
791	865	227
792	866	226
793	867	225
794	868	223
795	869	222
796	870	221
797	871	220
798	872	219
799	873	218
800	874	217
801	875	216
802	876	215
803	877	213
804	878	212
805	878	211
806	879	210
807	880	209
808	881	208
809	882	207
810	883	205
811	884	204
812	885	203
813	886	202
814	887	201
815	889	200
816	890	199
817	891	198
818	892	197
819	893	196
820	893	194
821	894	193
822	895	192
823	896	191
824	897	190
825	898	189
826	899	188
827	900	187
828	901	185
829	902	184
830	903	183
831	904	182
832	906	181
833	907	180
834	908	179
835	909	178
836	909	177
837	910	176
838	912	175
839	913	174
840	915	173
841	916	172
842	917	170
843	918	169
844	919	168
845	920	167
846	921	166
847	921	165
848	922	164
849	923	162
850	924	161
851	925	160
852	926	159
853	927	158
854	928	157
855	929	156
856	930	155
857	931	154
858	932	153
859	933	151
860	934	150
861	935	149
862	936	148
863	936	147
864	938	146
865	939	145
866	940	144
867	941	143
868	962	145
869	963	144
870	965	142
871	966	141
872	969	141
873	970	139
874	972	138
875	974	137
876	975	136
877	977	135
878	978	134
879	980	133
880	981	132
881	982	131
882	984	130
883	986	129
884	987	128
885	989	127
886	990	126
887	991	125
888	992	123
889	993	122
890	994	121
891	995	120
892	995	119
893	997	118
894	1001	117
895	1004	116
896	1005	115
897	1006	114
898	1007	113
899	1008	112
900	1008	110
901	1009	109
902	1010	108
903	1011	107
904	1012	106
905	1013	105
906	1014	103
907	1015	102
908	1016	101
909	1017	100
910	1017	99
911	1018	98
912	1019	97
913	1020	96
914	1021	94
915	1021	93
916	1022	92
917	1023	91
918	1024	90
919	1024	89
920	1025	87
921	1026	86
922	1027	85
923	1027	84
924	1028	83
925	1029	82
926	1030	81
927	1031	79
928	1032	78
929	1033	77
930	1033	76
931	1034	75
932	1035	74
933	1035	73
934	1036	72
935	1037	70
936	1038	69
937	1038	68
938	1039	67
939	1040	66
940	1041	65
941	1041	64
942	1042	63
943	1043	61
944	1044	60
945	1044	59
946	1046	58
947	1047	57
948	1047	56
949	1048	55
950	1049	54
951	1050	52
952	1050	51
953	1051	50
954	1052	49
955	1053	48
956	1053	47
957	1054	46
958	1055	45
959	1055	43
960	1056	42
961	1057	41
962	1058	40
963	1059	39
964	1060	38
965	1061	37
966	1061	36
967	1062	35
968	1063	34
969	1064	32
970	1065	31
971	1065	30
972	1066	29
973	1067	28
974	1067	27
975	1068	26
976	1069	25
977	1070	24
978	1070	22
979	1071	21
980	1072	20
981	1073	19
982	1073	18
983	1074	17
984	1075	16
985	1076	15
986	1077	14
987	1077	13
988	1078	11
989	1079	10
990	1080	9
991	1080	8
992	1081	7
993	1082	6
994	1082	5
995	1083	4
996	1084	3
997	1085	2
998	1085	1
999	1086	0
